aa	ɑː
parkata	parkɑtɑˣ
parkinsonismi	pɑrkins̠o̞nis̠mi
parkita	pɑrkitɑʔ
parkitusaine	pɑrkit̪us̠ɑi̯ne̞ʔ
parkkeerausalue	pɑrkːe̞ːrɑu̯s̠ɑlue̞ʔ
parkki	pɑrkːi
parkkiaine	pɑrkːiɑi̯ne̞ʔ
parkkiintua	pɑrkːiːnt̪uɑʔ
parkkikiekko	pɑrkːikie̞̯kːo̞
parkkilaiva	pɑrkːilɑi̯ʋɑ
parkkinahka	pɑrkːinɑxkɑ
parkkipankki	pɑrkːipɑŋkːi
parkkiutua	pɑrkːiu̯t̪uɑʔ
parkkuurauta	pɑrkːuːrɑu̯t̪ɑ
parku	pɑrku
parkuminen	pɑrkumine̞n
parlamentaarisesti	pɑrlɑme̞n̪t̪ɑːris̠e̞s̠t̪iʔ
parlamenttarismi	pɑrlɑme̞n̪t̪ːɑris̠mi
parlografi	pɑrlo̞ɡrɑfi
parodisesti	pɑro̞dis̠e̞s̠t̪iʔ
parrankasvu	pɑrːɑnkɑs̠ʋu
parransänki	pɑrːɑns̠æŋki
parrasvalo	pɑrːɑs̠ʋɑlo̞
parree	pɑrːeː
parree	pɑrːeːʔ
parroittua	pɑrːo̞i̯t̪t̪uɑʔ
parru	pɑrːu
parsa	pɑrsɑ
parsaherne	pɑrs̠ɑhe̞rne̞ʔ
parsakaali	pɑrsɑkɑːli
parsakaalikeitto	pɑrs̠ɑkɑːlike̞i̯t̪ːo̞
parsakeitto	pɑrs̠ɑke̞i̯t̪ːo̞
parsinsieni	pɑrs̠ins̠ie̞̯ni
parta	pɑrt̪ɑ
partahaiven	pɑrt̪ɑhɑi̯ʋe̞n
partajeesus	pɑrt̪ɑje̞ːs̠us̠
partanen	pɑrt̪ɑne̞n
partaniekka	pɑrt̪ɑnie̞̯kːɑ
partaradikaali	pɑrt̪ɑrɑdikɑːli
partasieni	pɑrt̪ɑs̠ie̞̯ni
partasuti	pɑrt̪ɑs̠ut̪i
partasuu	pɑrt̪ɑs̠uː
partavaahto	pɑrt̪ɑʋɑːxt̪o̞
partaveitsikotelo	pɑrt̪ɑʋe̞i̯ts̠iko̞t̪e̞lo̞
partiaalinen	pɑrt̪iɑːline̞n
partikkeli	pɑrt̪ikke̞li
partikkeliefekti	pɑrt̪ikːe̞lie̞fe̞kt̪i
partikulaarinen	pɑrt̪ikulɑːrine̞n
partiopuku	pɑrt̪io̞puku
parturinsakset	pɑrt̪urins̠ɑks̠e̞t̪
parturintuoli	pɑrt̪urint̪uo̞̯li
parveilu	pɑrʋe̞i̯lu
parveiluitiö	pɑrʋe̞iluit̪iø̞
parvi	pɑrʋi
parvilintu	pɑrʋilin̪t̪u
parvina	pɑrʋinɑ
parvittain	pɑrʋit̪ːɑi̯n
pas	pɑs̠
pasha	pɑsɦɑ
pasha	pɑʃːɑ
pasifistisesti	pɑs̠ifis̠t̪is̠e̞s̠t̪iʔ
paska	pɑs̠kɑ
paskanmarjat	pɑs̠kɑnmɑrjɑt̪
paskoa	pɑs̠ko̞ɑʔ
paskuus	pɑs̠kuːs̠
pasmakaide	pɑs̠mɑkɑi̯de̞ʔ
passari	pɑs̠ːɑri
passata	pɑs̠ːɑt̪ɑʔ
passeli	pɑs̠ːe̞li
passi	pɑs̠ːi
passiivat	pɑs̠ːiːʋɑt̪
passiivitalo	pɑs̠ːiːʋit̪ɑlo̞
passikuva	pɑs̠ːikuʋɑ
passiohedelmä	pɑs̠ːio̞he̞de̞lmæ
passion	pɑs̠ːio̞n
passionhedelmä	pɑs̠ːio̞nhe̞de̞lmæ
passipoliisi	pɑs̠ːipo̞liːs̠i
passivapaus	pɑs̠ːiʋɑpɑu̯s̠
pastajuotos	pɑs̠t̪ɑjuo̞̯t̪o̞s̠
pastakone	pɑs̠t̪ɑko̞ne̞ʔ
pastaruoka	pɑs̠t̪ɑruo̞̯kɑ
pastelli	pɑs̠t̪e̞lːi
pastelliliitu	pɑs̠t̪e̞lːiliːt̪u
pastellityö	pɑs̠t̪e̞lːit̪yø̞̯
pastori	pɑstori
pasutusuuni	pɑs̠ut̪us̠uːni
pata	pɑt̪ɑ
patahanko	pɑt̪ɑhɑŋko̞
patakoukku	pɑt̪ɑko̞u̯kːu
patakukko	pɑt̪ɑkukːo̞
patalaiska	pɑt̪ɑlɑi̯s̠kɑ
patalakki	pɑt̪ɑlɑkːi
patalappu	pɑt̪ɑlɑpːu
patapaisti	pɑt̪ɑpɑi̯s̠t̪i
patapenkki	pɑt̪ɑpe̞ŋkːi
patapölkky	pɑt̪ɑpø̞lkːy
patasuti	pɑt̪ɑs̠ut̪i
patavalmis	pɑt̪ɑʋɑlmis̠
patavanhoillinen	pɑt̪ɑʋɑnho̞i̯lline̞n
patenttiasiakirja	pɑt̪e̞n̪t̪ːiɑs̠iɑkirjɑ
patenttihakemus	pɑt̪e̞n̪t̪ːihɑke̞mus̠
patenttikirja	pɑt̪e̞n̪t̪ːikirjɑ
patenttineuvos	pɑt̪e̞n̪t̪ːine̞u̯ʋo̞s̠
patenttinumero	pɑt̪e̞n̪t̪ːinume̞ro̞
patenttirekisteri	pɑt̪e̞n̪t̪ːire̞kis̠t̪e̞ri
paternalismi	pɑt̪e̞rnɑlis̠mi
patikoiminen	pɑt̪iko̞i̯mine̞n
patinointi	pɑt̪ino̞i̯n̪t̪i
patistaa	pɑt̪is̠t̪ɑːʔ
patjakangas	pɑt̪jɑkɑŋːɑs̠
patjapussi	pɑt̪jɑpus̠ːi
pato	pɑt̪o̞
patoaukko	pɑt̪o̞ɑu̯kːo̞
patofysiologia	pɑt̪o̞fys̠io̞lo̞ɡiɑ
patokalastus	pɑt̪o̞kɑlɑs̠t̪us̠
patolaite	pɑt̪o̞lɑi̯t̪e̞ʔ
patonki	pɑt̪oŋki
patopaine	pɑt̪o̞pɑi̯ne̞ʔ
patouma	pɑt̪o̞u̯mɑ
patous	pɑt̪o̞u̯s̠
patriarkaalinen	pɑt̪riɑrkɑːline̞n
patruuna	pɑt̪ruːnɑ
patsas	pɑts̠ɑs̠
patti	pɑt̪ːi
pattitilanne	pɑt̪ːit̪ilɑnːe̞ʔ
patukkasara	pɑt̪ukːɑs̠ɑrɑ
paul	pɑu̯l
paula	pɑulɑ
paulakenkä	pɑu̯lɑke̞ŋkæ
pauli	pɑuli
pauliina	pɑuliːnɑ
pauloittaa	pɑu̯lo̞i̯t̪ːɑːʔ
pedari	pe̞dɑri
pedersöre	pe̞ːde̞rs̠ø̞ːre̞
pedersöreläinen	pe̞ːde̞rs̠ø̞ːre̞læi̯ne̞n
pedro	pe̞dro̞
pee	pe̞ː
peelo	pe̞ːlo̞
peesi	pe̞ːs̠i
peetu	pe̞ːt̪u
peevelisti	pe̞ːʋe̞lis̠t̪iʔ
peffa	pe̞fːɑ
pegasus	pe̞ɡɑs̠us̠
pehmennysmerkki	pe̞hme̞nːys̠me̞rkːi
pehmentää	pe̞hme̞n̪t̪æːʔ
pehmentää	pe̞hme̞n̪t̪æː
pehmeä	pe̞hme̞æ
pehmeäjuote	pe̞hme̞æjuo̞̯t̪e̞ʔ
pehmeäjuotos	pe̞hme̞æjuo̞̯t̪o̞s̠
pehmeäkarvainen	pe̞hme̞ækɑrʋɑi̯ne̞n
pehmeäliikkeinen	pe̞hme̞æliːkːe̞i̯ne̞n
pehmeäpohjainen	pe̞hme̞æpo̞xjɑi̯ne̞n
pehmeäpohjasyövytys	pe̞hme̞æpo̞xjɑs̠yø̞̯ʋyt̪ys̠
pehmeäpäinen	pe̞hme̞æpæi̯ne̞n
pehmeäsydäminen	pe̞hme̞æs̠ydæmine̞n
pehmeävillainen	pe̞hme̞æʋilːɑi̯ne̞n
pehmittyä	pe̞hmit̪t̪yæʔ
pehmitysaine	pe̞hmit̪ys̠ɑi̯ne̞ʔ
pehmoilla	pe̞hmo̞i̯lːɑʔ
pehmyt	pe̞hmyt̪
pehmytkalvo	pe̞hmyt̪kɑlʋo̞
pehmytkudos	pe̞hmyt̪kudo̞s̠
pehva	pe̞hʋɑ
peilari	pe̞i̯lɑri
peilausmatriisi	pe̞i̯lɑu̯s̠mɑt̪riːs̠i
peilautua	pe̞i̯lɑu̯t̪uɑʔ
peili	pe̞i̯li
peiliheijastuskamera	pe̞i̯lihe̞i̯jɑs̠t̪us̠kɑme̞rɑ
peiliholvi	pe̞i̯liho̞lʋi
peilikaappi	pe̞i̯likɑːpːi
peilikuvaisomeria	pe̞i̯likuʋɑis̠o̞me̞riɑ
peililasi	pe̞i̯lilɑs̠i
peiliovi	pe̞i̯lio̞ʋi
peilipöytä	pe̞i̯lipø̞y̯t̪æ
peilirauta	pe̞i̯lirɑu̯t̪ɑ
peilisali	pe̞i̯lis̠ɑli
peipata	pe̞i̯pɑt̪ɑʔ
peippi	pe̞i̯pːi
peitata	pe̞i̯t̪ɑt̪ɑʔ
peitekuvaus	pe̞i̯t̪e̞kkuʋɑu̯s̠
peitelevy	pe̞i̯t̪e̞lle̞ʋy
peitellysti	pe̞i̯t̪e̞llys̠t̪iʔ
peitepuikko	pe̞i̯t̪e̞ppui̯kːo̞
peitetysti	pe̞i̯t̪e̞t̪ys̠t̪iʔ
peitinkalvo	pe̞i̯t̪inkɑlʋo̞
peitsata	pe̞i̯ts̠ɑt̪ɑʔ
peitsi	pe̞i̯ts̠i
peittausaine	pe̞i̯t̪ːɑu̯s̠ɑi̯ne̞ʔ
peittoala	pe̞i̯t̪ːo̞ɑlɑ
peittoilmiö	pe̞i̯t̪ːo̞ilmiø̞
peittokyky	pe̞i̯t̪ːo̞kyky
peittolakana	pe̞i̯t̪ːo̞lɑkɑnɑ
peittäminen	pe̞i̯t̪ːæmine̞n
pekkala	pe̞kːɑlɑ
pekkaspäivä	pe̞kːɑs̠pæi̯ʋæ
pekko	pekːo
pekonimakkara	pe̞ko̞nimɑkːɑrɑ
pekonipizza	pe̞ko̞nipits̠ɑ
pekoraali	pe̞ko̞rɑːli
pelastaa	pe̞lɑs̠t̪ɑːʔ
pelastussuunnitelma	pe̞lɑs̠t̪us̠s̠uːnːit̪e̞lmɑ
pelastusväline	pe̞lɑs̠t̪us̠ʋæline̞ʔ
pelastusyksikkö	pe̞lɑs̠t̪us̠yks̠ikːø̞
pelata	pe̞lɑt̪ɑʔ
peli	pe̞li
peliala	pe̞liɑlɑ
pelihallipeli	pe̞lihɑlːipe̞li
pelihimo	pe̞lihimo̞
peliittinen	pe̞liːt̪t̪ine̞n
pelikausi	pe̞likɑu̯s̠i
pelikone	pe̞liko̞ne̞ʔ
pelilaite	pe̞lilɑi̯t̪e̞ʔ
pelillinen	pe̞lilline̞n
pelimies	pe̞limie̞s
pelimoottori	pe̞limo̞ːt̪ːo̞ri
pelipallo	pe̞lipɑlːo̞
pelipalvelin	pe̞lipɑlʋe̞lin
pelipöytä	pe̞lipø̞y̯t̪æ
peliraha	pe̞lirɑɦɑ
pelisuunnittelija	pe̞lis̠uːnːit̪t̪e̞lijɑ
pelisuunnittelu	pe̞lis̠uːnːit̪t̪e̞lu
peliteoreetikko	pe̞lit̪e̞o̞re̞ːt̪ikːo̞
pelitietokone	pe̞lit̪ie̞̯t̪o̞ko̞ne̞ʔ
pelittää	pe̞lit̪ːæːʔ
pelkistyminen	pe̞lkis̠t̪ymine̞n
pelkistys	pe̞lkis̠t̪ys̠
pelkistysaine	pe̞lkis̠t̪ys̠ɑi̯ne̞ʔ
pelkkaäes	pe̞lkːɑæe̞s̠
pelko	pe̞lko̞
pelkosenniemeläinen	pe̞lko̞s̠e̞nnie̞̯me̞læi̯ne̞n
pelkosenniemi	pe̞lko̞s̠e̞nnie̞̯mi
pelkotila	pe̞lko̞t̪ilɑ
pelkurimaisesti	pe̞lkurimɑi̯s̠e̞s̠t̪iʔ
pellavaharja	pe̞lːɑʋɑhɑrjɑ
pellavakampa	pe̞lːɑʋɑkɑmpɑ
pelle	pe̞lːe̞
pellervo	pelːerʋo
pellittää	pe̞lːit̪ːæːʔ
pello	pe̞lːo̞
pellolainen	pe̞lːo̞lɑi̯ne̞n
pellonmuokkaus	pe̞lːo̞nmuo̞̯kːɑu̯s̠
pellonpiennar	pe̞lːo̞npie̞̯nːɑr
pellonraivaus	pe̞lːo̞nrɑi̯ʋɑu̯s̠
pellonvaraus	pe̞lːo̞nʋɑrɑu̯s̠
pelmahdella	pe̞lmɑhde̞lːɑʔ
pelmahtaa	pe̞lmɑxt̪ɑːʔ
pelmeni	pe̞lme̞ni
pelmuttaa	pe̞lmut̪ːɑːʔ
pelokkaasti	pe̞lo̞kkɑːs̠t̪iʔ
pelonsekainen	pe̞lo̞ns̠e̞kɑi̯ne̞n
pelottavasti	pe̞lo̞t̪ːɑʋɑs̠t̪iʔ
pelottomasti	pe̞lo̞t̪ːo̞mɑs̠t̪iʔ
pelsimet	pe̞ls̠ime̞t̪
pelti	pe̞lt̪i
peltikate	pe̞lt̪ikɑt̪e̞ʔ
peltikatto	pe̞lt̪ikɑt̪ːo̞
peltipoliisi	pe̞lt̪ipo̞liːs̠i
peltiromu	pe̞lt̪iro̞mu
peltiruuvi	pe̞lt̪iruːʋi
peltisakset	pe̞lt̪is̠ɑks̠e̞t̪
peltivasara	pe̞lt̪iʋɑs̠ɑrɑ
peltoala	pe̞lt̪o̞ɑlɑ
peltoaukea	pe̞lt̪o̞ɑu̯ke̞ɑ
peltoaukeama	pe̞lt̪o̞ɑu̯ke̞ɑmɑ
peltoemäkki	pe̞lt̪o̞e̞mækːi
peltoenergia	pe̞lt̪o̞e̞ne̞rɡiɑ
peltoetana	pe̞lt̪o̞e̞t̪ɑnɑ
peltohatikka	pe̞lt̪o̞hɑt̪ikːɑ
peltohehtaari	pe̞lt̪o̞he̞ht̪ɑːri
peltoherne	pe̞lt̪o̞he̞rne̞ʔ
peltohiiri	pe̞lt̪o̞hiːri
peltokaali	pe̞lt̪o̞kɑːli
peltokanankaali	pe̞lt̪o̞kɑnɑnkɑːli
peltokaura	pe̞lt̪o̞kɑu̯rɑ
peltokierto	pe̞lt̪o̞kie̞̯rt̪o̞
peltolaidun	pe̞lt̪o̞lɑi̯dun
peltolemmikki	pe̞lt̪o̞le̞mːikːi
peltomaa	pe̞lt̪o̞mɑː
peltomies	pe̞lt̪o̞mie̞̯s̠
peltoretikka	pe̞lt̪o̞re̞t̪ikːɑ
peltoröykkiö	pe̞lt̪o̞rø̞y̯kːiø̞
peltosirkku	pe̞lt̪o̞s̠irkːu
peltotaskuruoho	pe̞lt̪o̞t̪ɑs̠kuruo̞̯ɦo̞
peltotie	pe̞lt̪o̞t̪ie̞̯
peltotilkku	pe̞lt̪o̞t̪ilkːu
peltotyö	pe̞lt̪o̞t̪yø̞̯
peltoukonnauris	pe̞lt̪o̞uko̞nnɑu̯ris̠
peltovalvatti	pe̞lt̪o̞ʋɑlʋɑt̪ːi
peltoviljely	pe̞lt̪o̞ʋilje̞ly
peltovilla	pe̞lt̪o̞ʋilːɑ
peluuttaa	pe̞luːt̪ːɑːʔ
pelästyttää	pe̞læs̠t̪yt̪ːæːʔ
pelästyä	pe̞læs̠t̪yæʔ
pelätä	pe̞læt̪æʔ
pemfigoidi	pe̞mfiɡo̞i̯di
pemfigus	pe̞mfiɡus̠
penetroida	pe̞ne̞t̪ro̞idɑˣ
peni	pe̞ni
penikka	pe̞nikːɑ
penikkamaisesti	pe̞nikːɑmɑi̯s̠e̞s̠t̪iʔ
peninkulma	pe̞ninkulmɑ
penkinpainajaiset	pe̞ŋkinpɑi̯nɑjɑi̯s̠e̞t̪
penkkarit	pe̞ŋkːɑrit̪
penkkihöylä	pe̞ŋkːihø̞y̯læ
penkkiurheilu	peŋkːiurheilu
penkkivelli	pe̞ŋkːiʋe̞lːi
penkoja	pe̞ŋko̞jɑ
pennsylvania	pe̞ns̠ilʋe̞i̯niɑ
pennsylvania	pe̞ns̠ylʋe̞i̯niɑ
pensaskerros	pe̞ns̠ɑs̠ke̞rːo̞s̠
pensasmaisesti	pe̞ns̠ɑs̠mɑi̯s̠e̞s̠t̪iʔ
pensassakset	pe̞ns̠ɑs̠s̠ɑks̠e̞t̪
pensastasku	pe̞ns̠ɑs̠t̪ɑs̠ku
pensastua	pe̞ns̠ɑs̠t̪uɑʔ
penseästi	pe̞ns̠e̞æs̠t̪iʔ
penslata	pe̞ns̠lɑt̪ɑʔ
pensoittua	pe̞ns̠o̞i̯t̪t̪uɑʔ
pentaedri	pe̞n̪t̪ɑe̞dri
pentakordi	pe̞n̪t̪ɑko̞rdi
penteleesti	pe̞n̪t̪e̞le̞ːs̠t̪iʔ
pentteri	pentːeri
pentti	pe̞n̪t̪ːi
penttilä	pe̞n̪t̪ːilæ
pentu	pe̞n̪t̪u
pentukoira	pe̞n̪t̪uko̞i̯rɑ
pentumaisesti	pe̞n̪t̪umɑi̯s̠e̞s̠t̪iʔ
penumbra	pe̞numbrɑ
penätä	pe̞næt̪æʔ
peppi	pe̞pːi
peppu	pe̞pːu
pepu	pe̞pu
perata	pe̞rɑt̪ɑʔ
perehdyttää	pe̞re̞hdyt̪ːæːʔ
peremmä	pe̞re̞mːæ
peremmäksi	pe̞re̞mmæks̠i
peremmäs	pe̞re̞mːæs̠
perempänä	pe̞re̞mpænæ
perempää	pe̞re̞mpæː
perenna	perenːɑ
perestroika	pe̞re̞s̠t̪ro̞i̯kɑ
perforaattori	pe̞rfo̞rɑːt̪ːo̞ri
performanssitaiteilija	pe̞rfo̞rmɑns̠ːit̪ɑi̯t̪e̞i̯lijɑ
perga	pe̞rɡɑ
pergamentointi	pe̞rɡɑme̞n̪t̪o̞i̯n̪t̪i
perhanasti	pe̞rhɑnɑs̠t̪iʔ
perhe	pe̞rhe̞ʔ
perhealbumi	pe̞rhe̞ʔɑlbumi
perheasunto	pe̞rhe̞ʔɑs̠un̪t̪o̞
perheauto	pe̞rhe̞ʔɑu̯t̪o̞
perhebarometri	pe̞rhe̞bbɑro̞me̞t̪ri
perheellinen	pe̞rhe̞ːlline̞n
perheenisä	pe̞rhe̞ːnis̠æ
perheenäiti	pe̞rhe̞ːnæi̯t̪i
perheetön	pe̞rhe̞ːt̪ø̞n
perhehauta	pe̞rhe̞hhɑu̯t̪ɑ
perheittäin	pe̞rhe̞i̯t̪ːæi̯n
perhekustannukset	pe̞rhe̞kus̠t̪ɑnnuks̠e̞t̪
perheneuvonta	pe̞rhe̞nne̞u̯ʋo̞n̪t̪ɑ
perhepalaveri	pe̞rhe̞ppɑlɑʋe̞ri
perhepiiri	pe̞rhe̞ppiːri
perhesiteet	pe̞rhe̞s̠it̪e̞ːt̪
perhesivu	pe̞rhe̞s̠s̠iʋu
perhesuhteet	pe̞rhe̞s̠uxt̪e̞ːt̪
perhetyö	pe̞rhe̞t̪t̪yø̞̯
perheviljelmä	pe̞rhe̞ʋʋilje̞lmæ
perho	pe̞rho̞
perholainen	pe̞rho̞lɑi̯ne̞n
perhonjoki	pe̞rho̞njo̞ki
perhoskoira	pe̞rho̞s̠ko̞i̯rɑ
perhospihvi	pe̞rho̞s̠piçʋi
periaatteellinen	pe̞riɑːt̪ːe̞ːlline̞n
periapsis	pe̞riɑps̠is̠
periastroni	pe̞riɑs̠t̪ro̞ni
periksiantamaton	pe̞riks̠iɑn̪t̪ɑmɑt̪o̞n
perimiskulut	pe̞rimis̠kulut̪
perimmiltään	pe̞rimmilt̪æːn
perimmältä	pe̞rimmælt̪æ
perimmältään	pe̞rimmælt̪æːn
perimätapa	pe̞rimæt̪ɑpɑ
perinatologi	pe̞rinɑt̪o̞lo̞ɡi
perinnearkisto	pe̞rinːe̞ʔɑrkis̠t̪o̞
perinnelaiva	pe̞rinːe̞llɑi̯ʋɑ
perinnemaisema	pe̞rinːe̞mmɑi̯s̠e̞mɑ
perinnäisesti	pe̞rinnæi̯s̠e̞s̠t̪iʔ
perinnäistapa	pe̞rinːæi̯s̠t̪ɑpɑ
perinteellisesti	pe̞rint̪e̞ːlːis̠e̞s̠t̪iʔ
perintä	pe̞rin̪t̪æ
perintäkirje	pe̞rin̪t̪ækirje̞ʔ
perintätoimisto	pe̞rin̪t̪æt̪o̞i̯mis̠t̪o̞
perintöhopeat	pe̞rin̪t̪ø̞ho̞pe̞ɑt̪
periodeittain	pe̞rio̞de̞i̯t̪ːɑi̯n
periodiopetus	pe̞rio̞dio̞pe̞t̪us̠
periodisesti	pe̞rio̞dis̠e̞s̠t̪iʔ
periodityö	pe̞rio̞dit̪yø̞̯
perisentri	pe̞ris̠e̞n̪t̪ri
periteksti	pe̞rit̪e̞ks̠t̪i
periyttää	pe̞riy̯t̪ːæːʔ
periä	pe̞riæʔ
perjantai	pe̞rjɑn̪t̪ɑi̯
perjantaiaamupäivä	pe̞rjɑn̪t̪ɑi̯ɑːmupæi̯ʋæ
perjantaipäivä	pe̞rjɑn̪t̪ɑi̯pæi̯ʋæ
perkaus	pe̞rkɑu̯s̠
perkausrauta	pe̞rkɑu̯s̠rɑu̯t̪ɑ
perkeet	pe̞rke̞ːt̪
perkele	pe̞rke̞le̞ʔ
perkussiivinen	pe̞rkus̠s̠iːʋine̞n
perkuulauta	pe̞rkuːlɑu̯t̪ɑ
permanentata	pe̞rmɑne̞n̪t̪ɑt̪ɑʔ
permantoliike	pe̞rmɑn̪t̪o̞liːke̞ʔ
permeaabeli	pe̞rme̞ɑːbe̞li
permeabiliteetti	pe̞rme̞ɑbilit̪e̞ːt̪ːi
permis	pe̞rmis̠
permittiivisyys	pe̞rmit̪ːiʋisyːs
permu	pe̞rmu
permutaatiomatriisi	pe̞rmut̪ɑːt̪io̞mɑt̪riːs̠i
permutaatioryhmä	pe̞rmut̪ɑːt̪io̞ryçmæ
permutointi	pe̞rmut̪o̞i̯n̪t̪i
peroksidaasi	pe̞ro̞ks̠idɑːs̠i
peroksisomi	pe̞ro̞ks̠is̠o̞mi
perovskiitti	pe̞ro̞ʋs̠kiːt̪ːi
persaukset	pe̞rs̠ɑu̯ks̠e̞t̪
perse	pe̞rs̠e̞ʔ
perseennuolija	pe̞rse̞ːnnuɔlijɑ
perseptroni	pe̞rs̠e̞pt̪ro̞ni
perseus	pe̞rs̠e̞u̯s̠
persia	pe̞rs̠iɑ
persialainen	pe̞rs̠iɑlɑi̯ne̞n
persikankivi	pe̞rs̠ikɑnkiʋi
persikka	pe̞rs̠ikːɑ
persikkaiho	pe̞rs̠ikːɑiɦo̞
persilja	pe̞rs̠iljɑ
persimon	pe̞rs̠imo̞n
persimoni	pe̞rs̠imo̞ni
perskat	pe̞rs̠kɑt̪
persoonallisuustyyppi	pe̞rs̠o̞ːnɑlːis̠uːs̠t̪yːpːi
persoonattomasti	pe̞rs̠o̞ːnɑt̪ːo̞mɑs̠t̪iʔ
perspektiivikuva	pe̞rs̠pe̞kt̪iːʋikuʋɑ
perspektiivimaalaus	pe̞rs̠pe̞kt̪iːʋimɑːlɑu̯s̠
perspektiivipiirustus	pe̞rs̠pe̞kt̪iːʋipiːrus̠t̪us̠
persus	pe̞rsus
persuukset	pe̞rs̠uːks̠e̞t̪
pertiitti	pe̞rt̪iːt̪ːi
perttula	pe̞rt̪ːulɑ
pertunmaa	pe̞rt̪unmɑː
pertunmaalainen	pe̞rt̪unmɑːlɑi̯ne̞n
perukirja	pe̞rukirjɑ
peruna	pe̞runɑ
perunainen	pe̞runɑi̯ne̞n
perunakeitto	pe̞runɑke̞i̯t̪ːo̞
perunakuoppa	pe̞runɑkuo̞̯pːɑ
perunalimppu	pe̞runɑlimpːu
perunamylly	pe̞runɑmylːy
perunamämmi	pe̞runɑmæmːi
perunanistutuskone	pe̞runɑnis̠t̪ut̪us̠ko̞ne̞ʔ
perunannostokone	pe̞runɑnno̞s̠t̪o̞ko̞ne̞ʔ
perunapelto	pe̞runɑpe̞lt̪o̞
perunapuuro	pe̞runɑpuːro̞
perunasuurimo	pe̞runɑs̠uːrimo̞
perunasyöpä	pe̞runɑs̠yø̞̯pæ
perunkirjoitusarvo	pe̞runkirjo̞i̯t̪us̠ɑrʋo̞
perusaate	pe̞rus̠ɑːt̪e̞ʔ
perusaihe	pe̞rus̠ɑi̯ɦe̞ʔ
perusaine	pe̞rus̠ɑi̯ne̞ʔ
perusaineisto	pe̞rus̠ɑi̯ne̞i̯s̠t̪o̞
perusarvo	pe̞rus̠ɑrʋo̞
peruselementti	pe̞rus̠e̞le̞me̞n̪t̪ːi
peruselinkeino	pe̞rus̠e̞linke̞i̯no̞
perushankinnat	pe̞rus̠hɑŋkinːɑt̪
perusjono	pe̞rus̠jo̞no̞
perusjoukko	pe̞rus̠jo̞u̯kːo̞
peruskallio	peruskɑlːio
peruskartoitus	pe̞rus̠kɑrt̪o̞i̯t̪us̠
peruskartta	pe̞rus̠kɑrt̪ːɑ
peruskorvaus	pe̞rus̠ko̞rʋɑu̯s̠
peruskoulu	pe̞rus̠ko̞u̯lu
peruskouluaste	pe̞rus̠ko̞u̯luɑs̠t̪e̞ʔ
peruskoulunopettaja	pe̞rus̠ko̞u̯luno̞pe̞t̪t̪ɑjɑ
peruslinja	pe̞rus̠linjɑ
perusmuuri	pe̞rus̠muːri
perusmäärä	pe̞rus̠mæːræ
perusnäyttely	pe̞rus̠næy̯t̪ːe̞ly
perusomavastuu	pe̞rus̠o̞mɑʋɑs̠t̪uː
perusopetus	pe̞rus̠o̞pe̞t̪us̠
perusopetusryhmä	pe̞rus̠o̞pe̞t̪us̠ryçmæ
peruspalkka	pe̞rus̠pɑlkːɑ
perusparannus	pe̞rus̠pɑrɑnːus̠
perusprosessi	pe̞rus̠pro̞s̠e̞s̠ːi
perusrahoitus	pe̞rus̠rɑɦo̞i̯t̪us̠
perusratkaisu	pe̞rus̠rɑt̪kɑi̯s̠u
perusryhmä	pe̞rus̠ryçmæ
perussairaus	pe̞rus̠s̠ɑi̯rɑu̯s̠
perussävel	pe̞rus̠s̠æʋe̞l
perustamiskokous	pe̞rus̠t̪ɑmis̠ko̞ko̞u̯s̠
perustamissopimus	pe̞rus̠t̪ɑmis̠s̠o̞pimus̠
perustamistyö	pe̞rus̠t̪ɑmis̠t̪yø̞̯
perustamisvuosi	pe̞rus̠t̪ɑmis̠ʋuo̞̯s̠i
peruste	pe̞rus̠t̪e̞ʔ
perusteettomasti	pe̞rus̠t̪e̞ːt̪ːo̞mɑs̠t̪iʔ
perusteilla	pe̞rus̠t̪e̞i̯lːɑ
perusteille	pe̞rus̠t̪e̞i̯lːe̞ʔ
perusteksti	pe̞rus̠t̪e̞ks̠t̪i
perustoimeentulotuki	pe̞rus̠t̪o̞i̯me̞ːnt̪ulo̞t̪uki
perustua	perustuɑʔ
perustuki	pe̞rus̠t̪uki
perustuotanto	pe̞rus̠t̪uo̞̯t̪ɑn̪t̪o̞
perustus	perustus
perustustyö	pe̞rus̠t̪us̠t̪yø̞̯
perustutkimus	pe̞rus̠t̪ut̪kimus̠
perustutkinto	pe̞rus̠t̪ut̪kin̪t̪o̞
perustyyppi	pe̞rus̠t̪yːpːi
perusviiva	pe̞rus̠ʋiːʋɑ
perusvoide	pe̞rus̠ʋo̞i̯de̞ʔ
perusvoima	pe̞rus̠ʋo̞i̯mɑ
perusvuosi	pe̞rus̠ʋuo̞̯s̠i
perusyksikkö	pe̞rus̠yks̠ikːø̞
perusäänes	pe̞rus̠æːne̞s̠
peruuttamaton	pe̞ruːt̪ːɑmɑt̪o̞n
peruuttamattomasti	pe̞ruːt̪ːɑmɑt̪ːo̞mɑs̠t̪iʔ
peruuttamisoikeus	pe̞ruːt̪ːɑmis̠o̞i̯ke̞u̯s̠
pervitiini	pe̞rʋit̪iːni
peräaallokko	pe̞ræɑːlːo̞kːo̞
peräkeula	pe̞ræke̞u̯lɑ
peräkkäisesti	pe̞rækkæi̯s̠e̞s̠t̪iʔ
